"gamma","sigma","p","ratio","B","G","alpha","beta","Bias_n","Var_n","Bias_p","Var_p"
0.25,1,0.5,5,1000,2,1,1,0.0106697861449389,0.034144523223779,-0.00528740666902316,0.000450513340165661
0.25,1,0.5,5,1000,4,1,1,-0.0143932533054923,0.0794647692514954,-0.00202618910549983,0.00103984487701407
0.25,1,0.5,5,1000,6,1,1,-0.00123860735617161,0.107945489170844,0.0246049720136921,0.00610703426035895
0.25,1,0.5,5,1000,8,1,1,0.0220360306861223,0.0512785452189914,-0.0319167950512629,0.00127577195596563
0.25,1,0.5,5,1000,10,1,1,0.00204582432867584,0.0775004975373602,0.0261930676746628,0.00287525142637326
0.25,1,0.5,5,1000,12,1,1,0.0261273837499124,0.0870544287117423,0.0399177488414276,0.00172460025488603
0.25,1,0.5,5,1000,14,1,1,-0.0253975120671522,0.0233630458245767,0.0159652619192046,0.00367102863837632
0.25,1,0.5,5,1000,16,1,1,-0.0366270893933261,0.0500751875830319,0.0171443488003898,0.000301294239542396
0.25,1,0.5,5,1000,18,1,1,-0.0461492744401979,0.0632482029832682,-0.0303156519546614,0.00185944540274908
0.25,1,0.5,5,1000,20,1,1,-0.0433200858214875,0.0279636521022372,0.00569169326583479,0.00113725440269963
0.25,1,0.5,5,1000,22,1,1,-0.00285991107080139,0.0412614558856526,0.0281109805116016,0.00135004471233853
0.25,1,0.5,5,1000,24,1,1,-0.0413621850600541,0.0531483916751414,0.0262794721238903,0.00112944328575772
0.25,1,0.5,5,1000,26,1,1,0.0178143529065192,0.0834855588938692,0.00521371008486146,0.000793709646832948
0.25,1,0.5,5,1000,28,1,1,0.00679597450303242,0.0764230482985699,-4.10162150459303e-05,0.00122452159605301
0.25,1,0.5,5,1000,30,1,1,0.0168857994866158,0.0843039929405155,0.0366074606044397,0.00273046539660949
0.25,1,0.5,5,1000,32,1,1,-0.0333506788870215,0.0944536167296943,-0.00792209247656803,0.000801342769613259
0.25,1,0.5,5,1000,34,1,1,0.023196473867247,0.089636582961645,0.0378448907156211,0.00109946254436845
0.25,1,0.5,5,1000,36,1,1,-0.0114171877732748,0.0674681544997842,0.00440617828043954,0.00184425215829841
0.25,1,0.5,5,1000,38,1,1,0.0345677804175119,0.0689108277201727,-0.0151844931786169,0.000956530936678631
0.25,1,0.5,5,1000,40,1,1,-2.09463060041326e-06,0.0487757436938294,0.00835937135926892,0.00259976843500419
